longitude,latitude,zone
7.33963962,45.07600826,F
7.49928924,45.22350106,F
7.6567871,45.37027102,E
7.5489665,45.5223738,F
7.48902531,45.20984085,F
7.6182079,45.27924268,E
7.01194778,45.15470177,F
7.96715786,45.18904937,E
8.09314758,45.15655009,E
7.95387863,45.38670164,E
7.81817187,45.38083894,E
7.77942268,45.49432405,F
7.75901516,45.43045472,E
7.49452417,44.84235593,E
7.50450846,44.78128218,E
7.55354045,45.24293558,E
7.46800102,45.04487159,E
7.38382219,45.11783797,E
7.97850007,45.31101176,E
7.22668959,45.10971506,F
7.15827939,44.80859193,F
7.24926893,44.92019309,F
7.7453532,44.92155495,E
7.63424154,44.94878443,E
7.56889069,44.86594197,E
7.95138039,45.33156931,E
7.76941978,45.44109707,E
7.37646792,45.23894208,F
7.77555033,45.20189898,E
7.51230483,44.95502486,E
7.93812982,45.85332586,F
8.38058282,45.42511503,E
8.07469466,45.36652862,E
8.38898545,45.49608576,E
8.40619426,45.26117617,E
8.13825637,45.81834722,F
8.28103358,45.45553463,E
8.12006412,45.30737818,E
8.11329092,45.82998665,F
8.05372704,45.34991763,E
8.27641052,45.71672956,E
8.4663705,45.35715818,E
8.30720564,45.76411748,F
8.26833442,45.48211892,E
8.03216717,45.79867325,F
8.04890161,45.90888987,F
8.50648564,45.22108416,E
8.38877273,45.35735225,E
8.19858607,45.408461,E
8.2933069,45.39952964,E
8.32534514,45.49741181,E
8.31309615,45.75546715,F
8.16235419,45.88308084,F
8.021489,45.309557,E
8.29278728,45.80668518,F
8.34853582,45.39712515,E
8.3700654,45.23619745,E
8.20112963,45.84734738,F
8.10258275,45.19232707,E
8.21192995,45.33003762,E
8.35745053,45.26873384,E
8.15891887,45.88955756,F
8.19171653,45.19339547,E
8.2929106,45.42877725,E
8.37128081,45.61734452,E
8.38432306,45.52931694,E
8.38247553,45.45180309,E
8.25032253,45.7009391,E
8.0975502,45.23008153,E
8.38444808,45.55556369,E
8.34604641,45.2852959,E
8.08199764,45.28165932,E
8.3220795,45.62258776,E
8.03096665,45.81528283,F
7.99586116,45.33122991,E
8.52077102,45.19150237,E
8.31138984,45.3635942,E
8.3827208,45.40235336,E
8.23282434,45.18450002,E
8.41762904,45.23562007,E
8.48420194,45.26206373,E
8.08081524,45.77024834,F
8.05308685,45.76976604,F
8.23149631,45.71418815,E
8.47934379,45.28222769,E
8.26542166,45.75985229,E
8.36218487,45.38047939,E
8.0141935,45.7686266,F
8.02339104,45.86531097,F
8.0629959,45.85848339,F
8.18259236,45.90794146,F
7.95382909,45.83327671,F
8.4183193,45.21256687,E
8.28892846,45.60862395,E
8.27777195,45.25350322,E
8.12564508,45.83354703,F
8.31361503,45.53679031,E
8.23633112,45.85685912,F
8.26378089,45.32528875,E
8.32968249,45.30933121,E
8.01113811,45.23583395,E
8.25094964,45.350183,E
8.17435014,45.366922,E
8.11316044,45.79171337,F
8.09484168,45.77367325,F
8.31147526,45.68614932,E
8.45347729,45.2313955,E
8.32514946,45.23379809,E
8.29690047,45.19420619,E
8.17469273,45.3427904,E
8.32785665,45.72638859,E
8.25621194,45.81403992,E
8.42323431,45.32398135,E
8.33686901,45.43665326,E
8.43260279,45.38561063,E
8.18753037,45.83098292,E
8.55992667,45.67598127,E
8.43942761,45.78878319,E
8.43917903,45.82196603,E
8.55948977,45.76039239,E
8.51201322,45.574775,E
8.63973111,45.57030363,E
8.46370551,45.45378226,E
8.40870545,45.67828729,E
8.53449913,45.66716613,E
8.44415269,45.76282586,E
8.69926765,45.31838337,E
8.46298661,45.6988743,E
8.60392229,45.68806799,E
8.45159151,45.73138349,E
8.4798194,45.54219977,E
8.58791485,45.51708606,E
8.66224358,45.50102461,E
8.41834081,45.5353062,E
8.46837851,45.43623977,E
8.49266595,45.48630378,E
8.5227352,45.35768141,E
8.46436466,45.3994586,E
8.48870753,45.5139929,E
8.64237321,45.71405023,E
8.50091213,45.60280053,E
8.48278611,45.6118122,E
8.3967365,45.66496084,E
8.78085515,45.41067427,E
8.49908518,45.79262548,E
8.56512314,45.7152394,E
8.50748369,45.64799409,E
8.46136101,45.67513019,E
8.60149532,45.66227913,E
8.57318421,45.73016147,E
8.4591122,45.55511789,E
8.48458276,45.63985923,E
8.69527266,45.47769535,E
8.6596796,45.38665075,E
8.42921545,45.72750435,E
8.52053275,45.70906459,E
8.42009104,45.59781069,E
8.43465086,45.74755669,E
8.57413671,45.36014053,E
8.33970898,45.68190215,E
8.48673976,45.75590621,E
8.42216872,45.49690699,E
8.56484439,45.83011076,E
8.42099488,45.69075412,E
8.45918595,45.49523236,E
8.63193647,45.62982409,E
8.53880817,45.82190383,E
8.53760183,45.79003479,E
8.60462006,45.62028414,E
8.43036112,45.80218966,E
8.55537053,45.57391222,E
8.52423877,45.80607594,E
8.65635253,45.3717854,E
8.62191588,45.44588506,E
8.63736389,45.59668789,E
8.52971174,45.74931605,E
8.40568474,45.79916255,E
8.51345761,45.74868723,E
8.38311698,45.79707067,E
8.40857519,45.81732142,E
8.51043727,45.79354856,E
8.38307485,45.75667233,E
8.6323888,45.64926665,E
8.37377395,45.64787501,E
8.43608827,45.46080638,E
8.3828762,45.63335002,E
8.72085352,45.46260428,E
8.3909581,45.77247196,E
8.4235666,45.43813129,E
8.54347212,45.45561012,E
8.44052712,45.52045483,E
8.4373334,45.57734631,E
8.40936492,45.74226936,E
8.72097747,45.3978178,E
8.54092449,45.63114506,E
8.69509702,45.37635291,E
8.71790663,45.35736427,E
8.73505551,45.43190444,E
8.55405064,45.60353491,E
8.6330528,45.66670204,E
8.53051508,45.69094068,E
8.66903813,45.34947293,E
8.46131719,45.47882953,E
8.51840535,45.32365543,E
6.99122231,44.47580767,F
7.22083358,44.31344859,F
8.03569894,44.70092208,E
8.06408216,44.59591514,F
8.00368552,44.10828374,F
6.96937784,44.3795888,F
8.11067964,44.5829271,F
8.04258299,44.30207165,E
7.31548217,44.7599027,E
7.91574918,44.758713,E
8.08046453,44.72554836,E
7.32339364,44.72522006,E
7.94180811,44.60988256,E
7.89332172,44.44138607,E
8.00948124,44.31917111,F
7.64570648,44.36566802,E
7.01716043,44.58060554,F
7.97416757,44.49456526,F
7.83282512,44.54523956,E
8.10591872,44.62818908,F
8.18352587,44.54801177,F
7.43531003,44.38860537,F
8.01592005,44.50362005,E
8.13275549,44.62044163,E
7.48746357,44.32875997,F
8.14620308,44.60246692,E
8.05750263,44.52679083,F
7.55199457,44.32981994,F
7.85474763,44.69818228,E
7.87698925,44.39511761,E
7.75076032,44.08321974,F
7.40513697,44.60005668,E
7.36044207,44.57029687,F
7.47352127,44.51369697,E
8.14079853,44.42266439,E
8.19352184,44.69488958,E
7.99140953,44.79720739,E
7.08139097,44.45532677,F
7.95494044,44.11582328,F
7.42762073,44.41771618,F
7.74117579,44.78043462,E
7.47821589,44.74417866,E
7.88006416,44.47859161,E
7.28769499,44.47708439,F
7.62496057,44.81950243,E
8.03015252,44.75647805,E
7.06903166,44.59097136,F
7.43636974,44.62157124,E
7.63905085,44.44422917,E
8.18598322,44.49257989,E
7.98188704,44.42777401,F
7.21232892,44.40916447,F
8.13019641,44.35330865,F
7.97903465,44.62333766,E
8.18943117,44.72604642,E
8.18121378,44.61699553,E
7.66273569,44.73944316,E
7.68774788,44.70785741,E
7.17967333,44.48257098,F
7.59014854,44.50412404,E
7.82056601,44.79952425,E
7.46788805,44.38316033,F
7.79316738,44.63475191,E
8.03521716,44.38623533,E
7.85820345,44.65222548,E
7.67788414,44.32477035,F
7.92622597,44.43506854,E
8.03050943,44.56310368,F
7.91198215,44.4821472,E
7.96129163,44.73553903,E
8.19186669,44.5808616,E
8.19855921,44.66906362,E
7.48493751,44.56461241,E
8.12818957,44.57315552,F
7.15718954,44.69910296,F
7.55117163,44.39329624,F
7.29751308,44.31526154,F
8.02766887,44.65139204,E
7.94516725,44.53009052,E
7.36331795,44.46697823,F
7.08963389,44.53976498,F
7.39780279,44.24075683,F
7.37219219,44.68175309,E
7.91702082,44.51169894,E
7.58066365,44.80542638,E
8.10417587,44.54335973,F
7.72487008,44.549398,E
7.80709202,44.28747375,F
7.79831038,44.30202535,F
7.27564416,44.571357,F
7.40676156,44.33524752,F
7.34741432,44.62937358,E
8.02988403,44.19729282,F
7.6627259,44.58769184,E
8.13511748,44.51186,E
8.16725259,44.46169553,F
8.09995734,44.80485973,E
7.98221368,44.6565379,E
8.03367466,44.73780446,E
8.01250347,44.44353291,E
7.38154761,44.58729447,F
7.55533712,44.62466066,E
7.93346395,44.63734577,E
8.09767172,44.60460498,F
7.8835988,44.56023249,E
7.96650568,44.40123357,E
8.15661951,44.53765937,E
7.57607947,44.20129244,F
7.97963402,44.30669736,F
7.17920368,44.49985871,F
8.06781101,44.76646823,E
7.79955227,44.45810047,E
8.15033106,44.68461474,E
7.48626156,44.61433199,E
7.7291516,44.66149658,E
7.68685767,44.40264638,E
7.0944983,44.4574949,F
7.98298599,44.45218424,F
7.36631509,44.62641683,E
7.32058248,44.56205512,F
7.38887176,44.31969065,F
8.08509313,44.46776296,F
7.96999618,44.36331302,E
7.82276111,44.34017655,E
7.94113913,44.33083516,F
7.62076965,44.68633537,E
7.91814013,44.57304646,E
7.81980578,44.38717713,E
8.11637954,44.46489547,E
7.96840862,44.58233541,E
7.96001468,44.81309155,E
7.8658402,44.31946922,F
7.92446567,44.76856722,E
7.66557341,44.46197795,E
8.04638473,44.6230682,F
7.37281405,44.43769447,F
7.32391931,44.4088882,F
7.93086916,44.78023621,E
8.14146684,44.37823953,F
7.94100869,44.71829049,E
7.53692411,44.76390518,E
7.71044647,44.42304028,E
8.01884708,44.47375439,F
7.60094237,44.75295967,E
7.87051966,44.59415651,E
8.11549922,44.72631566,E
8.1159764,44.69212361,E
8.07912058,44.51329019,F
7.92135837,44.41482647,E
7.92765526,44.58715702,E
8.05891552,44.33940152,E
7.19025436,44.67649775,F
7.91069055,44.14859437,F
7.18848199,44.6922177,F
7.27655778,44.68544648,F
7.42993582,44.61374464,E
7.91385092,44.27712579,F
8.07131848,44.43167462,F
8.2140792,44.5989965,E
8.08360656,44.33309061,F
7.61713926,44.33001233,F
8.19411,44.5392765,E
7.70975813,44.3704904,E
7.45740743,44.56855814,E
7.03194297,44.34401168,F
7.97851256,44.73490945,E
7.89242201,44.5157626,E
7.88718583,44.71945971,E
7.59607299,44.80335136,E
7.02831148,44.62198999,F
7.28208627,44.41859801,F
7.05543047,44.48307586,F
8.09241941,44.3766176,E
8.06272749,44.79130724,E
8.02242382,44.2459767,E
8.14431165,44.48944911,F
7.67598165,44.76782338,E
7.38900592,44.65466177,E
7.34909777,44.65049802,E
